Year1,Sum of Capital Cost
,
2015,2700
2016,2676.9
2017,2653.8
2018,2630.7
2019,2607.6
2020,2584.5
2021,2561.4
2022,2538.3
2023,2515.2
2024,2492.1
2025,2469
2026,2445.9
2027,2422.8
2028,2399.7
2029,2376.6
2030,2353.5
2031,2353.5
2032,2353.5
2033,2353.5
2034,2353.5
2035,2353.5
2036,2353.5
2037,2353.5
2038,2353.5
2039,2353.5
2040,2353.5
2041,2353.5
2042,2353.5
2043,2353.5
2044,2353.5
2045,2353.5
2046,2353.5
2047,2353.5
2048,2353.5
2049,2353.5
2050,2353.5
