Year1,Sum of Capital Cost
,
2015,2500
2016,2476.9
2017,2453.8
2018,2430.7
2019,2407.6
2020,2384.5
2021,2361.4
2022,2338.3
2023,2315.2
2024,2292.1
2025,2269
2026,2245.9
2027,2222.8
2028,2199.7
2029,2176.6
2030,2153.5
2031,2153.5
2032,2153.5
2033,2153.5
2034,2153.5
2035,2153.5
2036,2153.5
2037,2153.5
2038,2153.5
2039,2153.5
2040,2153.5
2041,2153.5
2042,2153.5
2043,2153.5
2044,2153.5
2045,2153.5
2046,2153.5
2047,2153.5
2048,2153.5
2049,2153.5
2050,2153.5
