Year1,Sum of Total Annual Max Capacity
,
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0.0019
2026,0.0038
2027,0.0058
2028,0.0077
2029,0.0096
2030,0.0115
2031,0.0135
2032,0.0154
2033,0.0173
2034,0.0192
2035,0.0212
2036,0.0231
2037,0.025
2038,0.0269
2039,0.0288
2040,0.0308
2041,0.0327
2042,0.0346
2043,0.0365
2044,0.0385
2045,0.0404
2046,0.0423
2047,0.0442
2048,0.0462
2049,0.0481
2050,0.05
