Year1,Sum of Capital Cost
,
2015,1900
2016,1876.9
2017,1853.8
2018,1830.7
2019,1807.6
2020,1784.5
2021,1761.4
2022,1738.3
2023,1715.2
2024,1692.1
2025,1669
2026,1645.9
2027,1622.8
2028,1599.7
2029,1576.6
2030,1553.5
2031,1553.5
2032,1553.5
2033,1553.5
2034,1553.5
2035,1553.5
2036,1553.5
2037,1553.5
2038,1553.5
2039,1553.5
2040,1553.5
2041,1553.5
2042,1553.5
2043,1553.5
2044,1553.5
2045,1553.5
2046,1553.5
2047,1553.5
2048,1553.5
2049,1553.5
2050,1553.5
