Strategy1,Year,Fuel1,Specified Annual Demand
PNE & PNETh,2028,Transport Demand Passenger Public,18.4378
PNE & PNETh,2029,Transport Demand Passenger Public,19.0026
PNE & PNETh,2030,Transport Demand Passenger Public,19.6297
PNE & PNETh,2031,Transport Demand Passenger Public,20.3434
PNE & PNETh,2032,Transport Demand Passenger Public,21.1874
PNE & PNETh,2033,Transport Demand Passenger Public,22.1973
PNE & PNETh,2034,Transport Demand Passenger Public,23.4122
PNE & PNETh,2035,Transport Demand Passenger Public,24.8294
PNE & PNETh,2036,Transport Demand Passenger Public,26.3982
PNE & PNETh,2037,Transport Demand Passenger Public,28.0187
PNE & PNETh,2038,Transport Demand Passenger Public,29.5817
PNE & PNETh,2039,Transport Demand Passenger Public,31.0233
PNE & PNETh,2040,Transport Demand Passenger Public,32.3159
PNE & PNETh,2041,Transport Demand Passenger Public,33.4784
PNE & PNETh,2042,Transport Demand Passenger Public,34.5393
PNE & PNETh,2043,Transport Demand Passenger Public,35.529
PNE & PNETh,2044,Transport Demand Passenger Public,36.4749
PNE & PNETh,2045,Transport Demand Passenger Public,37.3994
PNE & PNETh,2046,Transport Demand Passenger Public,38.3107
PNE & PNETh,2047,Transport Demand Passenger Public,39.2141
PNE & PNETh,2048,Transport Demand Passenger Public,40.1214
PNE & PNETh,2049,Transport Demand Passenger Public,41.0426
PNE & PNETh,2050,Transport Demand Passenger Public,41.9702
PNE & PNETh,2018,Transport Demand Passenger Private,25.7491
PNE & PNETh,2019,Transport Demand Passenger Private,26.2406
PNE & PNETh,2020,Transport Demand Passenger Private,19.6893
PNE & PNETh,2021,Transport Demand Passenger Private,22.4028
PNE & PNETh,2022,Transport Demand Passenger Private,26.3233
PNE & PNETh,2023,Transport Demand Passenger Private,26.925
PNE & PNETh,2024,Transport Demand Passenger Private,27.6379
PNE & PNETh,2025,Transport Demand Passenger Private,28.3525
PNE & PNETh,2026,Transport Demand Passenger Private,29.0617
PNE & PNETh,2027,Transport Demand Passenger Private,29.7563
PNE & PNETh,2028,Transport Demand Passenger Private,30.4223
PNE & PNETh,2029,Transport Demand Passenger Private,31.039
PNE & PNETh,2030,Transport Demand Passenger Private,31.5768
PNE & PNETh,2031,Transport Demand Passenger Private,31.9974
PNE & PNETh,2032,Transport Demand Passenger Private,32.2519
PNE & PNETh,2033,Transport Demand Passenger Private,32.2894
PNE & PNETh,2034,Transport Demand Passenger Private,32.0735
PNE & PNETh,2035,Transport Demand Passenger Private,31.6091
PNE & PNETh,2036,Transport Demand Passenger Private,30.9629
PNE & PNETh,2037,Transport Demand Passenger Private,30.2576
PNE & PNETh,2038,Transport Demand Passenger Private,29.6276
PNE & PNETh,2039,Transport Demand Passenger Private,29.1698
PNE & PNETh,2040,Transport Demand Passenger Private,28.9254
PNE & PNETh,2041,Transport Demand Passenger Private,28.8898
PNE & PNETh,2042,Transport Demand Passenger Private,29.0341
PNE & PNETh,2043,Transport Demand Passenger Private,29.3231
PNE & PNETh,2044,Transport Demand Passenger Private,29.7248
PNE & PNETh,2045,Transport Demand Passenger Private,30.212
PNE & PNETh,2046,Transport Demand Passenger Private,30.7643
PNE & PNETh,2047,Transport Demand Passenger Private,31.3665
PNE & PNETh,2048,Transport Demand Passenger Private,32.0073
PNE & PNETh,2049,Transport Demand Passenger Private,32.6782
PNE & PNETh,2050,Transport Demand Passenger Private,33.3738
PNE & PNETh,2018,Transport Demand Passenger No Motorize,0
PNE & PNETh,2019,Transport Demand Passenger No Motorize,0
PNE & PNETh,2020,Transport Demand Passenger No Motorize,0
PNE & PNETh,2021,Transport Demand Passenger No Motorize,0
PNE & PNETh,2022,Transport Demand Passenger No Motorize,0
PNE & PNETh,2023,Transport Demand Passenger No Motorize,0.0519
PNE & PNETh,2024,Transport Demand Passenger No Motorize,0.074
PNE & PNETh,2025,Transport Demand Passenger No Motorize,0.1054
PNE & PNETh,2026,Transport Demand Passenger No Motorize,0.1498
PNE & PNETh,2027,Transport Demand Passenger No Motorize,0.212
