Strategy1,Year,Fuel1,Specified Annual Demand
PNE & PNETh,2036,Transport Demand Freight Heavy,32.1996
PNE & PNETh,2037,Transport Demand Freight Heavy,33.1806
PNE & PNETh,2038,Transport Demand Freight Heavy,34.1905
PNE & PNETh,2039,Transport Demand Freight Heavy,35.2318
PNE & PNETh,2040,Transport Demand Freight Heavy,36.3049
PNE & PNETh,2041,Transport Demand Freight Heavy,37.4102
PNE & PNETh,2042,Transport Demand Freight Heavy,38.5492
PNE & PNETh,2043,Transport Demand Freight Heavy,39.7235
PNE & PNETh,2044,Transport Demand Freight Heavy,40.9324
PNE & PNETh,2045,Transport Demand Freight Heavy,42.1787
PNE & PNETh,2046,Transport Demand Freight Heavy,43.4628
PNE & PNETh,2047,Transport Demand Freight Heavy,44.7864
PNE & PNETh,2048,Transport Demand Freight Heavy,46.151
PNE & PNETh,2049,Transport Demand Freight Heavy,47.5562
PNE & PNETh,2050,Transport Demand Freight Heavy,49.0036
