Year1,Input Activity Ratio
2015,2.42
2016,2.3958
2017,2.3716
2018,2.3474
2019,2.3232
2020,2.299
2021,2.2748
2022,2.2506
2023,2.2264
2024,2.2022
2025,2.178
2026,2.1538
2027,2.1296
2028,2.1054
2029,2.0812
2030,2.057
2031,2.0328
2032,2.0086
2033,1.9844
2034,1.9602
2035,1.936
2036,1.936
2037,1.936
2038,1.936
2039,1.936
2040,1.936
2041,1.936
2042,1.936
2043,1.936
2044,1.936
2045,1.936
2046,1.936
2047,1.936
2048,1.936
2049,1.936
2050,1.936
