PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
ResidualCapacity,BAU,CR,PPGEO001,,,,2033,,,,,,0.206
ResidualCapacity,BAU,CR,PPGEO001,,,,2034,,,,,,0.206
ResidualCapacity,BAU,CR,PPGEO001,,,,2035,,,,,,0.206
ResidualCapacity,BAU,CR,PPGEO001,,,,2036,,,,,,0.206
ResidualCapacity,BAU,CR,PPGEO001,,,,2037,,,,,,0.206
ResidualCapacity,BAU,CR,PPGEO001,,,,2038,,,,,,0.206
ResidualCapacity,BAU,CR,PPGEO001,,,,2039,,,,,,0.206
ResidualCapacity,BAU,CR,PPGEO001,,,,2040,,,,,,0.206
ResidualCapacity,BAU,CR,PPGEO001,,,,2041,,,,,,0.206
ResidualCapacity,BAU,CR,PPGEO001,,,,2042,,,,,,0.206
ResidualCapacity,BAU,CR,PPGEO001,,,,2043,,,,,,0.206
ResidualCapacity,BAU,CR,PPGEO001,,,,2044,,,,,,0.206
ResidualCapacity,BAU,CR,PPGEO001,,,,2045,,,,,,0.206
ResidualCapacity,BAU,CR,PPGEO001,,,,2046,,,,,,0.206
ResidualCapacity,BAU,CR,PPGEO001,,,,2047,,,,,,0.206
ResidualCapacity,BAU,CR,PPGEO001,,,,2048,,,,,,0.206
ResidualCapacity,BAU,CR,PPGEO001,,,,2049,,,,,,0.206
ResidualCapacity,BAU,CR,PPGEO001,,,,2050,,,,,,0.206
ResidualCapacity,BAU,CR,PPHDAM001,,,,2015,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2016,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2017,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2018,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2019,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2020,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2021,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2022,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2023,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2024,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2025,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2026,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2027,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2028,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2029,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2030,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2031,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2032,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2033,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2034,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2035,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2036,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2037,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2038,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2039,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2040,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2041,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2042,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2043,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2044,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2045,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2046,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2047,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2048,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2049,,,,,,1.13
ResidualCapacity,BAU,CR,PPHDAM001,,,,2050,,,,,,1.13
ResidualCapacity,BAU,CR,PPHROR001,,,,2015,,,,,,1.21
